year,country,countryISO,gini,lnGDPpc,lnGDPpc2,lnGDPpc3,lnGDPpc4,lnGDPpc5,rents,land,trade,fdi,area,gasoline,areaXgasoline,polity2,federal,lnGPDpcXfederal,aid,school,ethnic_gini,t1,t2,t3,t4,t5
3,Mauritania,MRT,0.1372174,7.682686,59.02366,453.4603,3483.792933,26764.88719,0.129362,0.004149,0.792616,0.101013,1030700,0.7532605,0.0776386,-0.60000002,0,0,0.0666754,0.204368,0.07164,0,0,1,0,0
4,Mauritania,MRT,0.1402707,7.777676,60.49224,470.489,3659.311579,28460.93985,0.344935,0.003861,0.993688,0.127837,1030700,1.161228,0.1196878,-0.22,0,0,0.0446239,0.210852,0.1006269,0,0,0,1,0
5,Mauritania,MRT,0.1486187,7.798633,60.81868,474.3026,3698.911432,28846.45276,0.558868,0.004204,1.29413,0.176498,1030700,1.152389,0.1187767,-0.2,0,0,0.0449539,0.231775,0.1224523,0,0,0,0,1
1,Mauritius,MUS,0.0373017,8.932734,79.79375,712.7764,6367.040419,56875.07843,0.000172,0.464696,1.22186,0.004899,2030,,,1,0,0,0.0059871,0.582156,0,1,0,0,0,0
2,Mauritius,MUS,0.0340503,9.08054,82.4562,748.7468,6799.026022,61738.82775,0.000141,0.446305,1.27791,0.008108,2030,,,1,0,0,0.0056852,0.705314,8.85E-17,0,1,0,0,0
3,Mauritius,MUS,0.0322023,9.260354,85.75416,794.1138,7353.775306,68098.56257,0.000089,0.438424,1.1948,0.014387,2030,,,1,0,0,0.0023147,0.817451,5.64E-17,0,0,1,0,0
4,Mauritius,MUS,0.0312861,9.406112,88.47494,832.2051,7827.815531,73629.3096,0.000082,0.402956,1.21688,0.026894,2030,,,1,0,0,0.0058568,0.912271,1.02E-16,0,0,0,1,0
5,Mauritius,MUS,0.029234,9.546893,91.14317,870.1341,8307.0767,79306.7724,0.000052,0.384236,1.19113,0.044744,2030,1.425793,0.0002894,1,0,0,0.010186,0.944729,0,0,0,0,0,1
1,Mexico,MEX,0.0828435,9.214946,84.91522,782.4892,7210.596249,66445.25506,0.03833,0.115795,0.302574,0.013866,1943950,0.5079022,0.0987336,0.13333334,1,9.214946,0.0006664,0.533502,0.3825829,1,0,0,0,0
2,Mexico,MEX,0.0787082,9.243904,85.44976,789.8894,7301.661683,67495.85963,0.041485,0.11703,0.498402,0.025377,1943950,0.4049704,0.0787242,0.52000004,1,9.243904,0.0002074,0.624203,0.3663743,0,1,0,0,0
3,Mexico,MEX,0.0767804,9.327048,86.99383,811.3956,7567.925483,70586.40424,0.04697,0.124821,0.510984,0.031641,1943950,0.6549375,0.1273166,0.80000001,1,9.327048,0.0001008,0.741517,0.3634856,0,0,1,0,0
4,Mexico,MEX,0.0753424,9.451265,89.32642,844.2477,7979.207541,75413.60496,0.085087,0.127758,0.564219,0.025342,1943950,0.7019947,0.1364643,0.80000001,1,9.451265,0.0001398,0.814001,0.3692643,0,0,0,1,0
5,Mexico,MEX,0.0720257,9.539063,90.99371,867.9947,8279.85761,78982.08338,0.083591,0.126769,0.636949,0.019207,1943950,0.7441045,0.1446502,0.80000001,1,9.539063,0.0003991,0.84465,0.3651239,0,0,0,0,1
1,Micronesia,FSM,0.0127657,7.894979,62.33068,492.0994,3885.115341,30672.90403,0.00015,0.035714,,,700,,,,,,0.5439855,,0.0215735,1,0,0,0,0
2,Micronesia,FSM,0.0114629,7.897211,62.36594,492.517,3889.510669,30716.28644,0.000218,0.035714,,-0.082126,700,,,,,,0.7353786,,0.0246416,0,1,0,0,0
3,Micronesia,FSM,0.0135259,7.966778,63.46955,505.6478,4028.383993,32093.24097,0.00017,0.035714,,-0.000958,700,,,,,,0.6560932,0.825147,0.0538736,0,0,1,0,0
4,Micronesia,FSM,0.0210457,7.974266,63.58891,507.0749,4043.550523,32244.34745,0.000262,0.034286,,0.009483,700,,,,,,0.4985142,0.832153,0.0553948,0,0,0,1,0
5,Micronesia,FSM,0.022382,8.013106,64.20988,514.5206,4122.907119,33037.29177,0.000506,0.028571,,0.00128,700,,,,,,0.4603749,,0.0461628,0,0,0,0,1
1,Moldova,MDA,0.0482595,8.014221,64.22775,514.7354,4125.202359,33060.28337,0,0.530476,0.709191,0.006676,32896.21,,,0.63333333,0,0,0.0035394,0.851014,0.3887401,1,0,0,0,0
2,Moldova,MDA,0.059426,7.68085,58.99545,453.1352,3480.463914,26732.92125,0.005126,0.544202,1.21727,0.029599,32896.21,,,0.69999999,0,0,0.0097204,0.814798,0.4739148,0,1,0,0,0
3,Moldova,MDA,0.0692863,7.775661,60.4609,470.1234,3655.520911,28424.09138,0.004409,0.559888,1.30542,0.051476,32896.21,,,0.78000003,0,0,0.0177197,0.836922,0.5592039,0,0,1,0,0
4,Moldova,MDA,0.0727798,8.066737,65.07225,524.9207,4234.397177,34157.76838,0.004114,0.55415,1.3387,0.081263,32896.21,1.11252,0.0036598,0.89999998,0,0,0.019978,0.88554,0.6022716,0,0,0,1,0
5,Moldova,MDA,0.0685165,8.197751,67.20313,550.9145,4516.259534,37023.17111,0.004826,0.551599,1.25332,0.035854,32896.21,1.170734,0.0038513,0.89999998,0,0,0.032117,0.879655,0.5367292,0,0,0,0,1
1,Mongolia,MNG,0.1394705,8.013407,64.21469,514.5784,4123.526636,33043.49721,0.139137,0.008658,0.98065,0.006331,1553560,,,0.89999998,0,0,0.0271453,0.701091,0.1008951,1,0,0,0,0
2,Mongolia,MNG,0.1415196,8.106641,65.71763,532.7492,4318.80667,35011.01522,0.109671,0.008246,0.959323,0.017058,1553560,0.268025,0.0416393,0.98000002,0,0,0.0357056,0.620337,0.0960774,0,1,0,0,0
3,Mongolia,MNG,0.1489811,8.23674,67.84389,558.8125,4602.792844,37912.00793,0.096635,0.005264,1.2157,0.053183,1553560,0.4891675,0.0759951,1,0,0,0.0328521,0.766763,0.1055583,0,0,1,0,0
4,Mongolia,MNG,0.1529526,8.548617,73.07886,624.7232,5340.518699,45654.04894,0.286172,0.00457,1.16441,0.109638,1553560,1.066579,0.1656995,1,0,0,0.020717,0.926011,0.1054418,0,0,0,1,0
5,Mongolia,MNG,0.1600962,8.796112,77.37159,680.5692,5986.362369,52656.71387,0.383692,0.004023,1.31345,0.414064,1553560,1.068449,0.16599,1,0,0,0.0195117,0.969714,0.1214877,0,0,0,0,1
3,Montenegro,MNE,0.061147,8.939816,79.9203,714.4728,6387.255969,57100.89311,0.000909,,0.922582,,13450,0.8893577,0.0011962,,,,0.0036989,0.935536,0.0471372,0,0,1,0,0
4,Montenegro,MNE,0.0635959,9.31033,86.68225,807.0404,7513.811548,69956.06507,0.007477,0.128996,1.19041,0.210669,13450,1.321197,0.001777,0.89999998,,,0.0114457,0.949053,0.0500207,0,0,0,1,0
5,Montenegro,MNE,0.0650609,9.406739,88.48674,832.3717,7829.902911,73653.85308,0.016293,0.127881,1.0614,0.153571,13450,1.531939,0.0020605,0.89999998,,,0.0128424,0.935052,0.0497178,0,0,0,0,1
1,Morocco,MAR,0.07646,8.173878,66.81228,546.1154,4463.880967,36487.21843,0.009545,0.202084,0.51054,0.015219,446300,0.9767351,0.0435917,-0.69999999,0,0,0.0135392,0.365565,0.1071358,1,0,0,0,0
2,Morocco,MAR,0.0722029,8.237797,67.8613,559.0276,4605.155958,37936.33994,0.009569,0.200977,0.528444,0.000958,446300,1.033738,0.0461357,-0.66000003,0,0,0.0081716,0.370919,0.1027102,0,1,0,0,0
3,Morocco,MAR,0.0686458,8.371839,70.08768,586.7628,4912.284043,41124.85113,0.008586,0.192346,0.617903,0.014395,446300,0.9991747,0.0445932,-0.60000002,0,0,0.0060396,0.424955,0.090974,0,0,1,0,0
4,Morocco,MAR,0.0702736,8.560393,73.28033,627.3085,5370.006518,45969.36621,0.02862,0.180042,0.762931,0.030508,446300,1.189791,0.0531004,-0.60000002,0,0,0.0070302,0.550027,0.092198,0,0,0,1,0
5,Morocco,MAR,0.0676087,8.685715,75.44164,655.2646,5691.44181,49434.2415,0.043209,0.17791,0.822625,0.022905,446300,1.179821,0.0526554,-0.46666667,0,0,0.0065926,0.65632,0.0935412,0,0,0,0,1
1,Mozambique,MOZ,0.0577875,5.998277,35.97933,215.814,1294.511969,7764.841371,0.155106,0.044974,0.59754,0.014938,786380,0.6251104,0.0491574,-0.23333335,0,0,0.3325458,0.066501,0.3618031,1,0,0,0,0
2,Mozambique,MOZ,0.0629054,6.146097,37.77451,232.1658,1426.91348,8769.948658,0.133072,0.048959,0.44507,0.038525,786380,0.6437841,0.0506259,0.5,0,0,0.1842403,0.062117,0.3891482,0,1,0,0,0
3,Mozambique,MOZ,0.0661641,6.379289,40.69533,259.6073,1656.109733,10564.8026,0.086877,0.054554,0.681382,0.058562,786380,0.6783038,0.0533405,0.5,0,0,0.1785529,0.080005,0.4288757,0,0,1,0,0
4,Mozambique,MOZ,0.0704229,6.608542,43.67283,288.6138,1907.31585,12604.5769,0.166748,0.061294,0.735507,0.044921,786380,1.350526,0.1062026,0.5,0,0,0.128277,0.180413,0.4527767,0,0,0,1,0
5,Mozambique,MOZ,0.0646804,6.768074,45.80683,310.024,2098.265278,14201.21467,0.138404,0.068033,0.698735,0.25861,786380,1.195266,0.0939933,0.5,0,0,0.1116312,0.25836,0.3800221,0,0,0,0,1
2,Myanmar,MMR,0.0782381,6.97369,48.63235,339.1469,2365.105682,16493.51384,,0.147244,0.012651,,653440.7,0.1514924,0.0098991,-0.69999999,0,0,0.0023414,0.321173,0.2707776,0,1,0,0,0
3,Myanmar,MMR,0.0760682,7.36523,54.24661,399.5388,2942.695017,21673.62562,,0.151562,0.006697,,653440.7,0.2946472,0.0192534,-0.71999997,0,0,0.0022534,0.387728,0.2670021,0,0,1,0,0
4,Myanmar,MMR,0.0825815,7.88956,62.24516,491.0869,3874.459569,30567.78124,,0.160578,,,653440.7,0.5194869,0.0339454,-0.72000003,0,0,0.0022844,0.470505,0.2779693,0,0,0,1,0
5,Myanmar,MMR,0.0750873,8.100617,65.62,531.5626,4305.983846,34881.12595,,0.165406,,,653440.7,0.8182748,0.0534694,-0.40000001,0,0,0.0024392,0.50206,0.2441317,0,0,0,0,1
1,Namibia,NAM,0.0681269,8.581484,73.64187,631.9565,5423.12467,46538.45758,0.011059,0.008523,0.929248,0.026134,823290,0.5469716,0.0450316,0.60000002,0,0,0.028795,0.520726,0.747273,1,0,0,0,0
2,Namibia,NAM,0.0611053,8.576591,73.55791,630.876,5410.766592,46405.93205,0.008796,0.009911,0.943186,0.023834,823290,0.4428238,0.0364572,0.60000002,0,0,0.0311867,0.559189,0.7186264,0,1,0,0,0
3,Namibia,NAM,0.064063,8.651506,74.84856,647.5529,5602.306345,48468.38696,0.0065,0.009907,0.892203,0.015187,823290,0.5721886,0.0471077,0.60000002,0,0,0.0217396,0.631505,0.6916131,0,0,1,0,0
4,Namibia,NAM,0.0676014,8.854556,78.40316,694.2252,6147.055805,54429.44986,0.029306,0.009783,1.04156,0.070296,823290,0.7835986,0.0645129,0.60000002,0,0,0.0164466,0.640258,0.6880283,0,0,0,1,0
5,Namibia,NAM,0.0630665,8.956776,80.22383,718.5469,6435.863913,57644.59143,0.026373,0.009717,1.04858,0.070736,823290,1.023867,0.0842939,0.60000002,0,0,0.0169786,,0.6580505,0,0,0,0,1
1,Nepal,NPL,0.0557912,7.084198,50.18587,355.5266,2518.620675,17842.40755,0.071603,0.162979,0.46439,,143221,,,0.5,0,0,0.026474,0.403254,0.7373482,1,0,0,0,0
2,Nepal,NPL,0.0544969,7.174043,51.46689,369.2256,2648.841072,19002.89975,0.079866,0.163902,0.582521,0.003066,143221,0.6609902,0.0094668,0.51999998,0,0,0.0204153,0.415691,0.6852984,0,1,0,0,0
3,Nepal,NPL,0.0545842,7.272501,52.88926,384.6372,2797.274965,20343.18498,0.041804,0.164297,0.496347,0.000935,143221,0.7215756,0.0103345,-0.12,0,0,0.0170999,0.421501,0.6592726,0,0,1,0,0
4,Nepal,NPL,0.0466986,7.381906,54.49254,402.2588,2969.436501,21920.10112,0.051178,0.164283,0.45304,0.000632,143221,0.9797975,0.0140328,0.36000001,0,0,0.0161195,0.507472,0.6693428,0,0,0,1,0
5,Nepal,NPL,0.0420786,7.511254,56.41893,423.7769,3183.096413,23909.04566,0.057749,0.158772,0.438238,0.005089,143221,1.165849,0.0166974,0.60000002,0,0,0.0159346,0.629955,0.6567364,0,0,0,0,1
1,Netherlands,NLD,0.0307823,10.19294,103.8961,1059.007,10794.38419,110026.5103,0.012613,0.26254,1.03441,0.018266,33755.26,,,1,0,0,,1.27781,0.0298778,1,0,0,0,0
2,Netherlands,NLD,0.0290971,10.31926,106.487,1098.867,11339.50821,117015.3334,0.01093,0.266469,1.15235,0.054541,33755.26,1.40238,0.0047338,1,0,0,,1.319,0.030731,0,1,0,0,0
3,Netherlands,NLD,0.0277694,10.49176,110.0771,1154.903,12116.95207,127128.1531,0.016743,0.282257,1.1991,0.074413,33755.26,1.346853,0.0045463,1,0,0,,1.22227,0.0307621,0,0,1,0,0
4,Netherlands,NLD,0.0287868,10.60007,112.3614,1191.038,12625.10309,133826.9765,0.021225,0.317704,1.28879,0.059732,33755.26,1.60342,0.0054124,1,0,0,,1.19656,0.0345666,0,0,0,1,0
5,Netherlands,NLD,0.0246972,10.60998,112.5717,1194.384,12672.38215,134453.7211,0.011563,0.307609,1.45567,0.006865,33755.26,1.986682,0.0067061,1,0,0,,1.26769,0.0291169,0,0,0,0,1
1,New Zealand,NZL,0.0788843,9.913568,98.27884,974.294,9658.728523,95752.462,0.022628,0.07231,0.591782,0.048118,263310,,,1,0,0,,1.01861,0.2139844,1,0,0,0,0
2,New Zealand,NZL,0.0781464,10.01168,100.2337,1003.507,10046.80192,100585.3658,0.017397,0.059261,0.578407,0.033262,263310,0.7450267,0.0196173,1,0,0,,1.13428,0.2075981,0,1,0,0,0
3,New Zealand,NZL,0.0774873,10.12037,102.4219,1036.548,10490.24333,106165.1439,0.023322,0.032745,0.636708,0.027862,263310,0.6429536,0.0169296,1,0,0,,1.1468,0.2020092,0,0,1,0,0
4,New Zealand,NZL,0.0767582,10.19724,103.9836,1060.346,10812.61062,110258.7855,0.022759,0.016551,0.600021,0.018932,263310,0.9806592,0.0258217,1,0,0,,1.19887,0.1994841,0,0,0,1,0
5,New Zealand,NZL,0.0750314,10.23917,104.8405,1073.48,10991.55189,112544.3683,0.023021,0.019621,0.596634,0.013174,263310,1.441921,0.0379672,1,0,0,,1.19473,0.1933127,0,0,0,0,1
